,Simulated Returns
529,-1.0001796562230791
530,24.81455459577525
531,-1.0000257969685074
532,162.4600157080604
533,-1.0000000016101773
534,-1.0001743172361703
535,265.963826990646
536,-1.3294929765445733
537,-1.0000000004734484
538,-732533.4312241551
539,-1.000007809791626
540,8364.156075055405
541,3590745521.726415
542,721348482.2141508
543,820675.4097247991
544,51815.261568868846
545,-0.9999999999855254
546,-0.999999999883283
547,-0.9999999943743155
548,-0.9999999883950149
549,0.1833786698686013
550,-16.29805949687275
551,-0.9999999995696318
552,-1.0000000361747636
553,-918.5671779289197
554,-1.0007392301434657
555,-1.0000259822395532
556,-20763864.956208028
557,-6.1119357519987
558,-0.9710596183330197
559,-0.9999964889967038
560,-1.0001701243024963
561,-10367684.261217058
562,-1.0022194761621597
563,-1.0304854332059823
564,-1.0000000000073876
565,-1.015791726988716
566,-1.0885987852702073
567,-0.9999999621009283
568,-58.645014820220936
569,2733922.893802042
570,-1.000000018218935
571,-4329376.8978803605
572,-0.9999829338720035
573,-1.0000045593310671
574,-0.9999999501213057
575,-1.0000007467568648
576,16475.537853517286
577,-1.011807254901117
578,-8.432084963390093
579,3388109368.9206367
580,504795.57702041155
581,-365.528436165085
582,-1.0000000988322084
583,-0.9999996436319426
584,181686.7260482477
585,2.291962358115187
586,-0.9999999999975017
587,-0.9999997882668502
588,1.6402557943638314
589,12060432899.874264
590,251717272.2453286
591,0.7490497186458869
592,-39648066.9995533
593,-0.9973131206812779
594,-0.9901927547614363
595,-0.9992955469890631
596,-0.971245124510951
597,776.9820124989097
598,3195.4077092113075
599,-0.99988622967151
600,-0.9999999997723433
601,-1.000009635470288
602,-0.7766156778234272
603,-1.0220869971508109
604,-54270615.13094271
605,1.0371239538578152
606,38440726.818825044
607,18441.675846053266
608,-811710.2657630374
609,-0.9999999941773084
610,-1.00000000004475
611,-66082802.76726557
612,-1.0000000006963823
613,-1.0024410347007875
614,13.531989066658422
615,-0.9999983950803539
616,-525.5589504992624
617,-160.09264260966208
618,-1.000000718196944
619,-0.9999845341679938
620,-1.0
621,-422.98289189518465
622,2.8844357994344585
623,13.976957574801505
624,4936644704.3191595
625,10.060297604640532
626,-0.5161069560261835
627,-0.9999905919036899
628,-6.658670571744053
629,-0.3826724234940361
630,-2.294509609263608
631,-1.0000000174263126
632,-1.0000000410484067
633,-0.99983136501128
634,-0.9999999827723212
635,-1.0000000128402011
636,38.7868239290386
637,-1.0008464239557184
638,-1.0000000002931375
639,332.6094368731091
640,-1.0007968842543087
641,-1.1776597756570182
642,-0.9998729922602306
643,-1.021153648732306
644,-0.9999999908049353
645,29.36981329628807
646,37.471922815001406
647,-135191768882.50198
648,12185.839631317333
649,-1.000114692183436
650,-8.552597833718615
651,-0.9999987194514647
652,160.27129514839615
653,-0.9987275403467086
654,-1.2013815036154205
655,-1.0002057470067651
656,-1.0000177344633105
657,-92.49529569433707
658,-1.0016455284396035
